Data,Bebidas_Cantidad,Bebidas_Ventas,Comida_Cantidad,Comida_Ventas,Otros_Cantitdad,Otros_Ventas,Total_Cantidad,Total_Ventas,,,
02/01/2019,298,603.15,216,624.75,22,31.60,536,1259.50,,,
03/01/2019,339,720.30,260,785.80,19,47.40,618,1553.50,,,
04/01/2019,354,786.80,272,874.90,21,15.80,647,1677.50,,,
05/01/2019,259,507.10,207,636.10,14,7.90,480,1151.10,,,
06/01/2019,154,371.85,104,301.30,6,0.00,264,673.15,,,
07/01/2019,218,435.25,133,400.10,18,15.80,369,851.15,,,
08/01/2019,167,340.95,95,290.55,22,7.90,284,639.40,,,
09/01/2019,229,462.75,103,289.85,30,23.70,362,776.30,,,
10/01/2019,202,402.30,107,253.00,16,7.90,325,663.20,,,
11/01/2019,278,606.15,154,474.25,17,23.70,449,1104.10,,,
12/01/2019,419,828.80,280,842.00,52,15.80,751,1686.60,,,
13/01/2019,332,691.55,267,783.90,24,0.00,623,1475.45,,,
14/01/2019,256,538.30,137,442.70,19,23.70,412,1004.70,,,
15/01/2019,207,420.85,142,430.45,24,31.60,373,882.90,,,
16/01/2019,227,462.00,147,415.90,34,15.80,408,893.70,,,
17/01/2019,274,565.60,164,447.20,16,15.80,454,1028.60,,,
18/01/2019,318,676.45,208,609.65,22,15.80,548,1301.90,,,
19/01/2019,423,913.35,280,765.65,41,39.50,744,1718.50,,,
20/01/2019,415,848.95,333,944.05,44,23.70,792,1816.70,,,
21/01/2019,208,445.15,167,497.60,27,0.00,402,942.75,,,
22/01/2019,237,478.55,145,430.00,21,23.70,403,932.25,,,
23/01/2019,128,284.60,87,279.65,14,7.90,229,572.15,,,
24/01/2019,170,336.10,124,348.95,5,0.00,299,685.05,,,
25/01/2019,208,424.95,161,459.50,16,15.80,385,900.25,,,
26/01/2019,335,743.20,240,679.90,21,15.80,596,1438.90,,,
27/01/2019,297,635.35,216,612.85,9,15.80,522,1264.00,,,
28/01/2019,211,436.40,152,417.45,21,7.90,384,861.75,,,
29/01/2019,233,460.85,128,356.45,22,7.90,383,825.20,,,
30/01/2019,208,430.50,130,367.40,23,15.80,361,813.70,,,
31/01/2019,182,367.15,108,312.25,11,7.90,301,687.30,,,
01/02/2019,234,484.05,136,402.15,12,23.70,382,909.90,,,
02/02/2019,373,782.65,277,848.50,32,23.70,682,1654.85,,,
03/02/2019,285,650.05,253,752.70,17,20.60,555,1423.35,,,
04/02/2019,228,463.65,136,433.65,21,15.80,385,913.10,,,
05/02/2019,163,313.70,112,310.20,21,0.00,296,623.90,,,
06/02/2019,181,363.40,116,353.70,24,0.00,321,717.10,,,
07/02/2019,184,349.50,123,358.75,18,16.60,325,724.85,,,
08/02/2019,245,519.85,165,467.50,10,0.00,420,987.35,,,
09/02/2019,388,847.15,271,838.60,36,15.80,695,1701.55,,,
10/02/2019,316,688.35,242,720.45,13,7.90,571,1416.70,,,
11/02/2019,239,481.25,123,340.30,33,0.00,395,821.55,,,
12/02/2019,222,438.90,147,418.65,30,28.50,399,886.05,,,
13/02/2019,166,347.00,105,297.25,20,23.70,291,667.95,,,
14/02/2019,191,394.60,132,358.40,13,0.00,336,753.00,,,
15/02/2019,235,476.60,148,413.45,24,23.70,407,913.75,,,
16/02/2019,378,814.10,264,750.35,31,7.90,673,1572.35,,,
17/02/2019,373,812.50,283,869.20,54,47.40,710,1729.10,,,
18/02/2019,251,521.75,196,585.10,24,47.40,471,1154.25,,,
19/02/2019,295,587.85,224,660.50,45,23.70,564,1272.05,,,
20/02/2019,248,512.95,193,529.85,31,23.70,472,1066.50,,,
21/02/2019,251,489.15,170,513.20,25,63.20,446,1065.55,,,
22/02/2019,307,645.80,202,597.95,18,23.70,527,1267.45,,,
23/02/2019,438,927.35,309,888.95,45,31.60,792,1847.90,,,
24/02/2019,421,893.20,327,989.95,46,55.30,794,1938.45,,,
25/02/2019,228,468.80,165,493.05,26,15.80,419,977.65,,,
26/02/2019,270,545.20,182,481.95,44,23.70,496,1050.85,,,
27/02/2019,290,582.05,192,564.75,55,39.50,537,1186.30,,,
28/02/2019,341,709.40,240,703.55,39,79.00,620,1491.95,,,
01/03/2019,439,929.65,296,852.15,22,47.40,757,1829.20,,,
02/03/2019,490,1042.60,368,1091.95,88,55.30,946,2189.85,,,
03/03/2019,473,1029.80,383,1129.10,54,15.80,910,2174.70,,,
04/03/2019,358,788.50,274,805.65,40,55.30,672,1649.45,,,
05/03/2019,324,623.85,214,604.50,28,71.10,566,1299.45,,,
06/03/2019,331,644.80,209,648.60,12,15.80,552,1309.20,,,
07/03/2019,255,516.25,202,569.25,28,33.30,485,1118.80,,,
08/03/2019,549,1110.50,286,824.95,79,79.00,914,2014.45,,,
09/03/2019,465,933.45,331,951.90,74,47.40,870,1932.75,,,
10/03/2019,353,766.00,298,921.80,63,36.40,714,1724.20,,,
11/03/2019,234,463.15,157,415.90,20,23.70,411,902.75,,,
12/03/2019,226,459.35,161,439.55,26,23.70,413,922.60,,,
13/03/2019,357,746.45,213,596.75,38,31.60,608,1374.80,,,
14/03/2019,274,559.70,178,512.05,29,49.10,481,1120.85,,,
15/03/2019,321,662.10,225,703.00,31,72.80,577,1437.90,,,
16/03/2019,817,1696.60,414,1256.85,181,125.20,1412,3078.65,,,
17/03/2019,493,1088.80,395,1251.30,44,86.90,932,2427.00,,,
18/03/2019,320,681.20,263,789.15,26,15.80,609,1486.15,,,
19/03/2019,305,630.05,189,557.75,13,15.80,507,1203.60,,,
20/03/2019,304,683.35,167,447.00,53,31.60,524,1161.95,,,
21/03/2019,349,734.50,235,716.35,50,63.20,634,1514.05,,,
22/03/2019,400,824.05,255,770.25,35,31.60,690,1625.90,,,
23/03/2019,457,975.00,310,924.35,47,15.80,814,1915.15,,,
24/03/2019,342,716.45,229,679.10,28,23.70,599,1419.25,,,
25/03/2019,293,609.55,247,760.10,30,71.10,570,1440.75,,,
26/03/2019,294,621.90,213,636.65,31,71.10,538,1329.65,,,
27/03/2019,285,611.45,175,530.00,27,47.40,487,1188.85,,,
28/03/2019,273,543.80,189,537.60,14,15.80,476,1097.20,,,
29/03/2019,405,797.45,277,843.45,50,23.70,732,1664.60,,,
30/03/2019,516,1101.80,379,1115.20,79,94.80,974,2311.80,,,
31/03/2019,571,1232.75,334,1005.60,44,39.50,949,2277.85,,,
01/04/2019,297,623.00,199,587.15,24,31.60,520,1241.75,,,
02/04/2019,328,664.10,186,512.45,20,15.80,534,1192.35,,,
03/04/2019,278,596.65,216,630.15,40,71.10,534,1297.90,,,
04/04/2019,319,675.85,261,785.35,50,23.70,630,1484.90,,,
05/04/2019,397,833.50,277,857.90,33,86.90,707,1778.30,,,
06/04/2019,590,1270.60,381,1191.85,85,55.30,1056,2517.75,,,
07/04/2019,535,1184.29,429,1215.45,57,86.90,1021,2486.64,,,
08/04/2019,291,640.40,222,683.95,20,47.40,533,1371.75,,,
09/04/2019,319,660.00,208,634.25,37,63.20,564,1357.45,,,
10/04/2019,335,698.45,212,633.65,19,55.30,566,1387.40,,,
11/04/2019,342,727.65,230,714.15,30,31.60,602,1473.40,,,
12/04/2019,274,592.90,204,648.20,16,31.60,494,1272.70,,,
13/04/2019,375,808.55,294,990.00,37,79.00,706,1877.55,,,
14/04/2019,403,904.80,296,911.30,29,42.00,728,1858.10,,,
15/04/2019,365,781.85,255,798.70,29,58.40,649,1638.95,,,
16/04/2019,266,587.00,194,618.85,14,63.20,474,1269.05,,,
17/04/2019,306,690.02,218,668.70,27,39.50,551,1398.22,,,
18/04/2019,421,895.55,307,979.91,28,39.50,756,1914.96,,,
19/04/2019,552,1193.80,363,1211.50,29,79.00,944,2484.30,,,
20/04/2019,439,894.85,310,963.75,18,39.50,767,1898.10,,,
21/04/2019,432,952.00,304,969.20,31,71.10,767,1992.30,,,
22/04/2019,310,661.40,215,685.70,28,126.40,553,1473.50,,,
23/04/2019,326,696.15,190,586.00,16,23.70,532,1305.85,,,
24/04/2019,368,775.30,248,745.10,17,23.70,633,1544.10,,,
25/04/2019,392,818.20,197,578.35,13,7.90,602,1404.45,,,
26/04/2019,370,793.90,275,872.10,31,31.60,676,1697.60,,,
27/04/2019,365,784.75,252,765.30,50,27.90,667,1577.95,,,
28/04/2019,432,893.80,287,831.85,79,126.40,798,1852.05,,,
29/04/2019,294,636.45,207,646.55,32,126.40,533,1409.40,,,
30/04/2019,305,671.45,210,669.95,25,47.40,540,1388.80,,,
01/05/2019,320,693.50,211,654.70,23,42.00,554,1390.20,,,
02/05/2019,277,635.65,226,763.90,16,86.90,519,1486.45,,,
03/05/2019,300,670.95,223,710.25,20,63.20,543,1444.40,,,
04/05/2019,398,849.60,250,756.45,39,7.90,687,1613.95,,,
05/05/2019,283,613.20,175,526.35,25,15.80,483,1155.35,,,
06/05/2019,278,584.00,168,513.60,18,47.40,464,1145.00,,,
07/05/2019,308,650.20,171,511.60,17,47.40,496,1209.20,,,
08/05/2019,380,816.65,213,636.55,20,52.20,613,1505.40,,,
09/05/2019,331,688.80,197,587.50,14,47.40,542,1323.70,,,
10/05/2019,304,647.30,245,773.65,8,7.90,557,1428.85,,,
11/05/2019,443,948.85,306,979.60,82,118.80,831,2047.25,,,
12/05/2019,389,830.15,276,960.30,42,86.90,707,1877.35,,,
13/05/2019,251,501.00,196,674.80,24,60.10,471,1235.90,,,
14/05/2019,302,617.45,159,521.00,33,59.50,494,1197.95,,,
15/05/2019,233,496.05,165,541.70,12,52.20,410,1089.95,,,
16/05/2019,340,669.00,217,713.60,33,104.40,590,1487.00,,,
17/05/2019,438,2228.71,264,859.40,16,74.50,718,3162.61,,,
18/05/2019,527,1106.55,295,957.70,70,44.30,892,2108.55,,,
19/05/2019,365,813.95,242,772.75,26,15.80,633,1602.50,,,
