normalized_item,mentions,avg_rating,sentiment
places,511,4.461839530332681,Positivo
coffee and place,508,4.28740157480315,Positivo
good,495,4.38989898989899,Positivo
services,445,4.53932584269663,Muy Positivo
breakfast good,365,4.531506849315068,Muy Positivo
delicious,293,4.7815699658703075,Muy Positivo
kind and friendly,267,4.610486891385768,Muy Positivo
wonderful,265,4.781132075471698,Muy Positivo
excellent,208,4.8798076923076925,Muy Positivo
nice,207,4.473429951690822,Positivo
highly recommended,207,4.826086956521739,Muy Positivo
staff depends,201,4.592039800995025,Muy Positivo
nice good service,194,4.742268041237113,Muy Positivo
foods,181,4.558011049723757,Muy Positivo
pretty good coffee,157,4.617834394904459,Muy Positivo
cool atmosphere,119,4.588235294117647,Muy Positivo
price,118,3.8728813559322033,Positivo
cafe with delicious,116,4.491379310344827,Positivo
good place,111,4.45945945945946,Positivo
madrid and loved,108,4.712962962962963,Muy Positivo
back,104,4.1923076923076925,Positivo
recommend,99,4.555555555555555,Muy Positivo
location,99,4.090909090909091,Positivo
super pleasant,97,4.608247422680412,Muy Positivo
highly,88,4.920454545454546,Muy Positivo
cozy with good,88,4.7727272727272725,Muy Positivo
bread for toast,83,3.7951807228915664,Positivo
attentive making,82,4.7317073170731705,Muy Positivo
good atmosphere,78,4.602564102564102,Muy Positivo
awesome place,77,4.805194805194805,Muy Positivo
cakes and pastries,75,4.573333333333333,Muy Positivo
cheap,73,2.7534246575342465,Neutro
super,71,4.845070422535211,Muy Positivo
quality is worth,71,3.915492957746479,Positivo
exquisite coffee,71,4.802816901408451,Muy Positivo
small size,69,3.9565217391304346,Positivo
croissant is delicious,64,4.40625,Positivo
fast,63,4.555555555555555,Muy Positivo
amazing,58,4.827586206896552,Muy Positivo
table,57,3.0,Neutro
cheese sandwich,57,4.350877192982456,Positivo
quiet,53,4.584905660377358,Muy Positivo
perfect,52,4.846153846153846,Muy Positivo
friendly staff healthy,52,4.8076923076923075,Muy Positivo
ordered,51,4.1568627450980395,Positivo
beautiful,51,4.7254901960784315,Muy Positivo
